time,vehicle_id,location_x,location_y,location_z,velocity_x,velocity_y,velocity_z,acceleration_x,acceleration_y,acceleration_z,angular_velocity_x,angular_velocity_y,angular_velocity_z,rotation_roll,rotation_pitch,rotation_yaw,control_brake,control_throttle,control_steer
1,253,-1071.8995361328125,4.500009536743164,1.910372018814087,0.0017619942082092166,3.197511250618845e-05,-1.2764970064163208,-8.094357326626778e-05,-1.3409589882940054e-06,-9.787189483642578,0.0013333145761862397,-0.11927266418933868,-0.0008797782356850803,-0.00018310548330191523,0.01563430204987526,-0.00012207030522404239,0.0,0.0,0.0
1,252,-1073.9398193359375,4.500069618225098,2.028223991394043,-0.014083385467529297,-0.00025559577625244856,-1.5395711660385132,0.000641215592622757,1.052685547620058e-05,-9.784913063049316,0.02613234333693981,-0.5570660829544067,-0.004158365074545145,-0.00390625,0.08343758434057236,-0.0006103515042923391,0.0,1.0,0.0
2,253,-1071.89892578125,4.500019550323486,1.6288986206054688,0.001750814146362245,3.1791376386536285e-05,-2.645677328109741,-8.082715794444084e-05,-1.3289536582306027e-06,-9.773492813110352,0.0013283784501254559,-0.11903741210699081,-0.0008759797201491892,-0.0003662109375,0.032306794077157974,-0.00024414058134425431,0.0,0.0,0.0
2,252,-1073.9385986328125,4.5001349449157715,1.7747178077697754,-0.014006479643285275,-0.0002543310110922903,-2.712996244430542,0.0006468035280704498,1.0631629265844822e-05,-9.77318286895752,0.02614419348537922,-0.5565961599349976,-0.004143844824284315,-0.007049560081213713,0.15026415884494781,-0.0011291502742096782,0.0,1.0,0.0
3,253,-1071.8984375,4.5000319480896,1.0296298265457153,0.0017372468719258904,3.1568164558848366e-05,-4.305677890777588,-7.950002327561378e-05,-1.30821717903018e-06,-9.756898880004883,0.0013223715359345078,-0.1187516525387764,-0.0008713552379049361,-0.000579833984375,0.052530981600284576,-0.0003967284574173391,0.0,0.0,0.0
3,252,-1073.9366455078125,4.500231742858887,1.1306557655334473,-0.01389148086309433,-0.00025243923300877213,-4.470493793487549,0.0006404705345630646,1.0608346201479435e-05,-9.755611419677734,0.026161935180425644,-0.5558947920799255,-0.004122072830796242,-0.011779784224927425,0.25038787722587585,-0.00189208984375,0.0,1.0,0.0
4,253,-1071.8978271484375,4.500045299530029,0.0878085270524025,0.0017229552613571286,3.133244899800047e-05,-6.060249328613281,-7.980270311236382e-05,-1.3173121260479093e-06,-9.739303588867188,0.0013160257367417216,-0.11845170706510544,-0.0008664638735353947,-0.000823974609375,0.07386849075555801,-0.0005493164644576609,0.0,0.0,0.0
4,252,-1073.934814453125,4.500324726104736,0.23216094076633453,-0.013783412054181099,-0.0002506595919840038,-6.127449989318848,0.0006396323442459106,1.0538497008383274e-05,-9.739017486572266,0.026179086416959763,-0.5552423000335693,-0.0041015190072357655,-0.016204833984375,0.34482207894325256,-0.0026245114859193563,0.0,1.0,0.0
5,253,-1071.9027099609375,4.495896339416504,-0.15183906257152557,0.0039539276622235775,-0.040752433240413666,0.20013172924518585,-0.04481980577111244,-0.6256825923919678,1.7422795295715332,1.1345747709274292,1.6735068559646606,0.01617136411368847,-0.094970703125,-0.11944634467363358,-3.051757266803179e-05,0.0,0.0,0.0
5,252,-1073.92431640625,4.497610569000244,0.002268829382956028,-0.0346522182226181,-0.12894852459430695,0.18453346192836761,0.39797985553741455,2.6306822299957275,1.7748281955718994,4.571778297424316,-0.7495163083076477,-0.15636169910430908,-0.2179870456457138,0.9966269731521606,-0.006835937034338713,0.0,1.0,0.0
6,253,-1071.9046630859375,4.495882987976074,-0.13748396933078766,0.0017586747417226434,-0.01998397521674633,0.24966813623905182,-0.03055516816675663,-0.5143536925315857,0.301988422870636,0.43902069330215454,0.7532894611358643,0.013165737502276897,-0.1424865871667862,-0.1862524151802063,0.0002289165131514892,0.0,0.949999988079071,0.0029642856679856777
